SYMBOL,ComplexID,ComplexName,Organism,subunits(Entrez.IDs),subunits(Gene.name),subunits(Gene.name.syn),GO.description,FunCat.description
STX16,877,"SNARE complex (STX6, STX16, VAMP4, VTI1a, VTI1b)",Human,8675;10228;8674;143187;10490,STX16;STX6;VAMP4;VTI1A;VTI1B,None;None;None;None;VTI1 VTI1L VTI1L1 VTI2,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX16,880,"SNARE complex (Stx6, Stx16, Vamp4, Vti1b)",Rat,362283;364033;366673;60562,Stx16;Vamp4;Vti1b;Stx6,"None;Vamp4_predicted,rCG_46317;Vti1l1;None",vesicle organization;synaptic vesicle recycling;synaptic vesicle transport;synaptic vesicle exocytosis;vesicle fusion;endosome;SNARE complex;membrane fusion,vesicle formation;vesicle recycling;synaptic vesicle exocytosis;vesicle fusion;endosome
STX16,881,"SNARE complex (Stx6, Stx16, Vamp4, Vti1a)",Rat,362283;364033;60562;65277,Stx16;Vamp4;Stx6;Vti1a,"None;Vamp4_predicted,rCG_46317;None;Vti1l2",SNARE complex;membrane fusion,None
STX18,704,"SNARE complex (Napa, RINT1, Scfd1, Sec22b, Stx18, USE1, ZW10)",Mammalia,9183;140673;310710;54350;360953;60561;55850,ZW10;Napa;Sec22b;Scfd1;Stx18;RINT1;USE1,"None;Snap, Snapa;Sec22l1;Ra410, Sly1, Stxbp1l2;Syn 18;None;USE1L, MDS032, p31",mitotic cell cycle;regulation of cell cycle;endoplasmic reticulum to Golgi vesicle-mediated transport;endoplasmic reticulum;kinetochore;spindle checkpoint signaling;SNARE complex;membrane fusion;vesicle-mediated transport,"mitotic cell cycle;mitotic cell cycle and cell cycle control;ER to Golgi transport;endoplasmic reticulum;vesicular transport (Golgi network, etc.)"
STX1A,640,"SNARE complex (Snap47, Stx1a, Vamp2)",Rat,116470;24803;303183,Stx1a;Vamp2;Snap47,Sap;Syb2;None,protein binding;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;plasma membrane;SNARE complex;membrane fusion,protein binding;vesicle fusion;synaptic vesicle exocytosis;eukaryotic plasma membrane / membrane attached
STX1A,791,"SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)",Rat,116470;25012;64832;24803,Stx1a;Snap25;Cplx1;Vamp2,Sap;Snap;None;Syb2,signaling receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;signaling receptor binding;membrane fusion;SNARE complex,regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding
STX1A,792,"SNARE complex (Cplx2, Snap25, Stx1a, Vamp2)",Rat,116470;25012;24803;116657,Stx1a;Snap25;Vamp2;Cplx2,Sap;Snap;Syb2;None,signaling receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;signaling receptor binding;membrane fusion;SNARE complex,regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding
STX1A,793,"SNARE complex (CPLX1, SNAP25, STX1A, VAMP2)",Human,10815;6616;6844;6804,CPLX1;SNAP25;VAMP2;STX1A,None;SNAP;SYB2;STX1,signaling receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;signaling receptor binding;membrane fusion;SNARE complex,regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding
STX1A,794,"SNARE complex (CPLX2, SNAP25, STX1a, VAMP2)",Human,6616;6844;6804;10814,SNAP25;VAMP2;STX1A;CPLX2,SNAP;SYB2;STX1;None,signaling receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;signaling receptor binding;membrane fusion;SNARE complex,regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding
STX1A,795,"SNARE complex (Cplx1, Snap25, Stx1a, Vamp2)",Mouse,20907;20614;12889;22318,Stx1a;Snap25;Cplx1;Vamp2,None;Snap;None;Syb2,signaling receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;signaling receptor binding;membrane fusion;SNARE complex,regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding
STX1A,796,"SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)",Mouse,20907;20614;22318;12890,Stx1a;Snap25;Vamp2;Cplx2,None;Snap;Syb2;None,signaling receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;signaling receptor binding;SNARE complex;membrane fusion,regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding
STX1A,843,"SNARE complex (SNAP25, STX1A, VAMP2)",Bovine,788566;282116;540853,STX1A;VAMP2;SNAP25,None;SYB2;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1A,854,"SNARE complex (Snap25, Stx1a, Vamp8)",Rat,116470;25012;83730,Stx1a;Snap25;Vamp8,Sap;Snap;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1A,872,"SNARE complex (Snap29, Stx1a)",Rat,116470;116500,Stx1a;Snap29,Sap;GS32,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1A,873,"SNARE complex (STX1A, SNAP29)",Human,9342;6804,SNAP29;STX1A,None;STX1,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1A,915,"SNARE complex (SNAP23, STX1A)",Human,8773;6804,SNAP23;STX1A,None;STX1,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;regulation of chloride transport;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1A,950,"SNARE complex (Stx1a, Snap25, Stxbp5)",Rat,116470;25012;81022,Stx1a;Snap25;Stxbp5,Sap;Snap;Llgl3,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1A,976,"SNARE complex (Snap25, Stx1a, Vamp2)",Rat,116470;25012;24803,Stx1a;Snap25;Vamp2,Sap;Snap;Syb2,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;plasma membrane;SNARE complex,vesicle fusion;synaptic vesicle exocytosis;eukaryotic plasma membrane / membrane attached
STX1A,983,"SNARE complex (Snap25, Stx1a, Syt1, Vamp2)",Rat,25716;116470;25012;24803,Syt1;Stx1a;Snap25;Vamp2,None;Sap;Snap;Syb2,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1A,1011,"SNARE complex (Rtn1, Stx1a, Stx1b, Stx7, Stx13, Vamp2)",Rat,65033;60466;116470;24923;24803;116644,Stx12;Stx7;Stx1a;Stx1b;Vamp2;Rtn1,Stx13;None;Sap;Stx1b2;Syb2;Nsp,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;endoplasmic reticulum;membrane fusion,vesicle fusion;synaptic vesicle exocytosis;endoplasmic reticulum
STX1A,1125,"SNARE complex (Cplx3, Snap25, Stx1a, Vamp2)",Rat,501005;116470;25012;24803,Cplx3;Stx1a;Snap25;Vamp2,"RGD1560104_predicted,rCG_58445;Sap;Snap;Syb2",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1A,1126,"SNARE complex (Cplx1, Snap25, Stx1a, Stx3, Vamp2)",Rat,116470;25012;64832;24803;81802,Stx1a;Snap25;Cplx1;Vamp2;Stx3,Sap;Snap;None;Syb2;Stx3a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1A,1129,"Complexin complex (Cplx3, Snap25, Stx1a, Stx3, Vamp2)",Rat,116470;25012;24803;81802;235415,Stx1a;Snap25;Vamp2;Stx3;Cplx3,Sap;Snap;Syb2;Stx3a;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1A,1235,"SNARE complex (Cplx1, Snap25, Stx1a, Syt1, Vamp2)",Rat,25716;116470;25012;64832;24803,Syt1;Stx1a;Snap25;Cplx1;Vamp2,None;Sap;Snap;None;Syb2,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1A,1236,"SNARE complex (Cplx2, Snap25, Stx1a, Syt1, Vamp2)",Rat,25716;116470;25012;24803;116657,Syt1;Stx1a;Snap25;Vamp2;Cplx2,None;Sap;Snap;Syb2;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1A,1244,"SNARE complex (STX1A, STX1B, SNAP25, RAB3A, SYT1, VAMP2)",Bovine,282029;788566;281511;282377;282116;540853,RAB3A;STX1A;SYT1;STX1B;VAMP2;SNAP25,None;None;None;STX1B2;SYB2;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1A,1247,"SNARE complex (STX1a, STX1b, SNAP25, RAB3a, SYT1, VAMP2, CPLX2)",Bovine,282029;788566;281511;282377;282116;281711;540853,RAB3A;STX1A;SYT1;STX1B;VAMP2;CPLX2;SNAP25,None;None;None;STX1B2;SYB2;None;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1A,1873,"SNARE complex (Unc13a, Snap25, Stx1a, Stx1b, Syt1, Vamp2)",Rat,25716;116470;25012;24923;24803;64829,Syt1;Stx1a;Snap25;Stx1b;Vamp2;Unc13a,"None;Sap;Snap;Stx1b2;Syb2;Unc13h1, Munc13-1",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;synaptic vesicle docking;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1A,1879,Nsf-Stx1a-NAPB complex,Rat,116470;499903;60355,Stx1a;Napb;Nsf,Sap;Snapb;Erg1,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis,vesicle fusion;synaptic vesicle exocytosis
STX1A,1880,"SNARE complex (Stx1a, Napa, Snap25, Vamp2, Nsf)",Rat,116470;140673;25012;24803;60355,Stx1a;Napa;Snap25;Vamp2;Nsf,"Sap;Snap, Snapa;Snap;Syb2;Erg1",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1A,2800,"SNARE complex (STX1A, CPLX2, SNAP-25, VAMP2)",Bovine,788566;282116;281711;540853,STX1A;VAMP2;CPLX2;SNAP25,None;SYB2;None;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1A,5151,Nsf-Stx1a-Napa complex,Rat,116470;140673;60355,Stx1a;Napa;Nsf,"Sap;Snap, Snapa;Erg1",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis,vesicle fusion;synaptic vesicle exocytosis
STX1A,5152,Nsf-Stx1a-NAPG complex,Rat,116470;8774;60355,Stx1a;NAPG;Nsf,Sap;SNAPG;Erg1,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis,vesicle fusion;synaptic vesicle exocytosis
STX1A,7789,STX1A-STXBP1 complex,Human,6812;6804,STXBP1;STX1A,UNC18A;STX1,synaptic vesicle priming,None
STX1B,1011,"SNARE complex (Rtn1, Stx1a, Stx1b, Stx7, Stx13, Vamp2)",Rat,65033;60466;116470;24923;24803;116644,Stx12;Stx7;Stx1a;Stx1b;Vamp2;Rtn1,Stx13;None;Sap;Stx1b2;Syb2;Nsp,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;endoplasmic reticulum;membrane fusion,vesicle fusion;synaptic vesicle exocytosis;endoplasmic reticulum
STX1B,1244,"SNARE complex (STX1A, STX1B, SNAP25, RAB3A, SYT1, VAMP2)",Bovine,282029;788566;281511;282377;282116;540853,RAB3A;STX1A;SYT1;STX1B;VAMP2;SNAP25,None;None;None;STX1B2;SYB2;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1B,1247,"SNARE complex (STX1a, STX1b, SNAP25, RAB3a, SYT1, VAMP2, CPLX2)",Bovine,282029;788566;281511;282377;282116;281711;540853,RAB3A;STX1A;SYT1;STX1B;VAMP2;CPLX2;SNAP25,None;None;None;STX1B2;SYB2;None;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX1B,1873,"SNARE complex (Unc13a, Snap25, Stx1a, Stx1b, Syt1, Vamp2)",Rat,25716;116470;25012;24923;24803;64829,Syt1;Stx1a;Snap25;Stx1b;Vamp2;Unc13a,"None;Sap;Snap;Stx1b2;Syb2;Unc13h1, Munc13-1",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;synaptic vesicle docking;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX1B,7452,Kcna1-Stx1b complex,Rat,24520;24923,Kcna1;Stx1b,Kv1.1;Stx1b2,plasma membrane;potassium channel complex,eukaryotic plasma membrane / membrane attached
STX2,801,"SNARE complex (SNAP23, STX2)",Human,8773;2054,SNAP23;STX2,None;EPIM STX2A STX2B STX2C,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX2,855,"SNARE complex (Snap25, Stx2, Vamp8)",Rat,25130;25012;83730,Stx2;Snap25;Vamp8,Epim;Snap;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX2,977,"SNARE complex (Snap25, Stx2, Vamp2)",Rat,25130;25012;24803,Stx2;Snap25;Vamp2,Epim;Snap;Syb2,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX2,982,"SNARE complex (Snap25, Stx2, Syt1, Vamp2)",Rat,25716;25130;25012;24803,Syt1;Stx2;Snap25;Vamp2,None;Epim;Snap;Syb2,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX2,986,"SNARE complex (Cplx1, Snap25, Stx2, Vamp2)",Rat,25130;25012;64832;24803,Stx2;Snap25;Cplx1;Vamp2,Epim;Snap;None;Syb2,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX2,987,"SNARE complex (Cplx2, Snap25, Stx2, Vamp2)",Rat,25130;25012;24803;116657,Stx2;Snap25;Vamp2;Cplx2,Epim;Snap;Syb2;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX3,544,TRPC3-TRPC6-Ca2+-signaling complex,Dog,None;None;None;None;None;None;None;None;None,TRPC6;PLCB3;PLCB2;STX3;PLCB1;ITPR1;TRPC3;ITPR3;GNA11,None;None;None;None;None;None;None;None;None,cation transmembrane transporter activity;cation transport;channel activity;plasma membrane,"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);channel / pore class transport;eukaryotic plasma membrane / membrane attached"
STX3,856,"SNARE complex (Snap25, Stx3, Vamp8)",Rat,25012;81802;83730,Snap25;Stx3;Vamp8,Snap;Stx3a;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX3,978,"SNARE complex (Snap25, Stx3, Vamp2)",Rat,25012;24803;81802,Snap25;Vamp2;Stx3,Snap;Syb2;Stx3a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX3,981,"SNARE complex (Snap25, Stx3, Syt1, Vamp2)",Rat,25716;25012;24803;81802,Syt1;Snap25;Vamp2;Stx3,None;Snap;Syb2;Stx3a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX3,988,"SNARE complex (Cplx2, Snap25, Stx3, Vamp2)",Rat,25012;24803;116657;81802,Snap25;Vamp2;Cplx2;Stx3,Snap;Syb2;None;Stx3a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX3,989,"SNARE complex (Cplx1, Snap25, Stx3, Vamp2)",Rat,25012;64832;24803;81802,Snap25;Cplx1;Vamp2;Stx3,Snap;None;Syb2;Stx3a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX3,1126,"SNARE complex (Cplx1, Snap25, Stx1a, Stx3, Vamp2)",Rat,116470;25012;64832;24803;81802,Stx1a;Snap25;Cplx1;Vamp2;Stx3,Sap;Snap;None;Syb2;Stx3a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX3,1129,"Complexin complex (Cplx3, Snap25, Stx1a, Stx3, Vamp2)",Rat,116470;25012;24803;81802;235415,Stx1a;Snap25;Vamp2;Stx3;Cplx3,Sap;Snap;Syb2;Stx3a;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX4,730,"SNARE complex (SNAP23, STX4, VAMP1)",Human,8773;6843;6810,SNAP23;VAMP1;STX4,None;SYB1;STX4A,synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;secretory vesicle;neutrophil degranulation;tertiary granule;membrane fusion,synaptic vesicle exocytosis
STX4,731,"SNARE complex (SNAP23, STX4, VAMP2)",Human,8773;6844;6810,SNAP23;VAMP2;STX4,None;SYB2;STX4A,exocytosis;tertiary granule;synaptic vesicle exocytosis;SNARE complex;neutrophil degranulation;secretory vesicle;membrane fusion,exocytosis;synaptic vesicle exocytosis
STX4,733,"SNARE complex (STX4, VAMP1, VAMP7)",Human,6843;6845;6810,VAMP1;VAMP7;STX4,SYB1;SYBL1;STX4A,vesicle fusion;exocytosis;azurophil granule;membrane fusion;SNARE complex,vesicle fusion;exocytosis
STX4,805,"SNARE complex (SNAP23, STX4)",Human,8773;6810,SNAP23;STX4,None;STX4A,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;calcium ion regulated lysosome exocytosis;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX4,857,"SNARE complex (Snap25, Stx4, Vamp8)",Rat,25012;81803;83730,Snap25;Stx4;Vamp8,Snap;Stx4a;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX4,979,"SNARE complex (Snap25, Stx4, Vamp2)",Rat,25012;24803;81803,Snap25;Vamp2;Stx4,Snap;Syb2;Stx4a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX4,980,"SNARE complex (Snap25, Stx4, Syt1, Vamp2)",Rat,25716;25012;24803;81803,Syt1;Snap25;Vamp2;Stx4,None;Snap;Syb2;Stx4a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX4,1027,"SNARE complex (Snap23, Stx4, Syt7, Vamp7)",Rat,64630;81803;59267;85491,Snap23;Stx4;Syt7;Vamp7,None;Stx4a;None;Sybl1,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX4,1169,"SNARE complex (SNAP23, STX4, VAMP3)",Human,8773;6810;9341,SNAP23;STX4;VAMP3,None;STX4A;SYB3,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX4,1212,"SNARE complex (Stx4, Vamp8, Snap23)",Mouse,20619;22320;20909,Snap23;Vamp8;Stx4,Sndt;None;Stx4a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX4,1213,"SNARE complex (Stx4, Vamp2, Snap23)",Mouse,20619;22318;20909,Snap23;Vamp2;Stx4,Sndt;Syb2;Stx4a,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX4,1876,"SNARE complex (Stx4, Napa, Vamp3, Nsf, Vamp2)",Rat,140673;29528;24803;81803;60355,Napa;Vamp3;Vamp2;Stx4;Nsf,"Snap, Snapa;Syb3;Syb2;Stx4a;Erg1",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis
STX4,8533,"SNARE complex (SNAP23, STX4, VAMP8)",Human,8773;6810;8673,SNAP23;STX4;VAMP8,None;STX4A;None,synaptic vesicle exocytosis;synaptic vesicle transport;vesicle fusion;SNARE complex;membrane fusion,synaptic vesicle exocytosis;vesicle fusion
STX5,88,"SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Sec22b, Stx5)",Rat,64154;65134;310710;29631;94189;54350,Gosr2;Stx5;Sec22b;Bet1;Gosr1;Scfd1,"Gs27, Membrin;Stx5a;Sec22l1;None;Gs28, Gos-28;Ra410, Sly1, Stxbp1l2",endoplasmic reticulum to Golgi vesicle-mediated transport;intra-Golgi vesicle-mediated transport;vesicle budding from membrane;vesicle organization;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;endoplasmic reticulum;Golgi apparatus;Golgi membrane;SNARE complex;membrane fusion;vesicle-mediated transport,"ER to Golgi transport;intra Golgi transport;vesicle formation;vesicle fusion;synaptic vesicle exocytosis;endoplasmic reticulum;Golgi;vesicular transport (Golgi network, etc.)"
STX5,653,"SNARE complex (Ykt6, Stx5, Gosr2, Bet1)",Rat,64154;65134;64351;29631,Gosr2;Stx5;Ykt6;Bet1,"Gs27, Membrin;Stx5a;None;None",protein binding;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;plasma membrane;SNARE complex;membrane fusion,protein binding;vesicle fusion;synaptic vesicle exocytosis;eukaryotic plasma membrane / membrane attached
STX5,663,"SNARE complex (Stx5, Ykt6, Gosr1, Bet1)",Rat,54400;65134;64351;94189,Bet1l;Stx5;Ykt6;Gosr1,"Gs15;Stx5a;None;Gs28, Gos-28",protein binding;protein transport;intra-Golgi vesicle-mediated transport;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus;endosome;SNARE complex;membrane fusion;vesicle-mediated transport,"protein binding;protein transport;intra Golgi transport;vesicle fusion;synaptic vesicle exocytosis;Golgi;endosome;vesicular transport (Golgi network, etc.)"
STX5,664,"SNARE complex (Stx5, Gosr2, Sec22b, Bet1)",Rat,64154;65134;310710;29631,Gosr2;Stx5;Sec22b;Bet1,"Gs27, Membrin;Stx5a;Sec22l1;None",protein binding;protein transport;intra-Golgi vesicle-mediated transport;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus;endosome;SNARE complex;membrane fusion;vesicle-mediated transport,"protein binding;protein transport;intra Golgi transport;vesicle fusion;synaptic vesicle exocytosis;Golgi;endosome;vesicular transport (Golgi network, etc.)"
STX5,673,"SNARE complex (Stx5, p97, Nsfl1c)",Rat,83809;116643;65134,Nsfl1c;Vcp;Stx5,p47;None;Stx5a,protein binding;protein transport;endoplasmic reticulum to Golgi vesicle-mediated transport;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;endoplasmic reticulum;Golgi apparatus;SNARE complex;membrane fusion;vesicle-mediated transport,"protein binding;protein transport;ER to Golgi transport;vesicle fusion;synaptic vesicle exocytosis;endoplasmic reticulum;Golgi;vesicular transport (Golgi network, etc.)"
STX5,703,"SNARE complex (Bet1,Stx5, Vamp7, Vti1a)",Rat,65134;29631;85491;65277,Stx5;Bet1;Vamp7;Vti1a,Stx5a;None;Sybl1;Vti1l2,endoplasmic reticulum to Golgi vesicle-mediated transport;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;chylomicron;membrane fusion;SNARE complex;vesicle-mediated transport,"ER to Golgi transport;vesicle fusion;synaptic vesicle exocytosis;vesicular transport (Golgi network, etc.)"
STX5,902,"SNARE complex (Gosr1, GS15, Stx5)",Rat,54400;65134;94189,Bet1l;Stx5;Gosr1,"Gs15;Stx5a;Gs28, Gos-28",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis;Golgi
STX5,907,"SNARE complex (Bet1, Gef2, Gosr1, Stx5)",Rat,64670;65134;29631;94189,Gabarapl2;Stx5;Bet1;Gosr1,"Gef2;Stx5a;None;Gs28, Gos-28",vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus;SNARE complex;membrane fusion,vesicle fusion;synaptic vesicle exocytosis;Golgi
STX6,735,"SNARE complex (Stx6, Stx7, Vti1b)",Mouse,53331;53612;58244,Stx7;Vti1b;Stx6,Syn7;Vti1l1;None,membrane fusion;SNARE complex;Golgi membrane;exocytosis;vesicle fusion;synaptic vesicle transport,exocytosis;vesicle fusion;synaptic vesicle exocytosis
STX6,765,"SNARE complex (Snap29, Stx6)",Rat,60562;116500,Stx6;Snap29,None;GS32,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;Golgi apparatus;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis;Golgi
STX6,820,"SNARE complex (SNAP23, STX6)",Human,8773;10228,SNAP23;STX6,None;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;neutrophil degranulation;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX6,859,"SNARE complex (Stx6, Stx7, Vamp7, Vti1b)",Mouse,53331;53612;20955;58244,Stx7;Vti1b;Vamp7;Stx6,Syn7;Vti1l1;Sybl1;None,membrane fusion;late endosome;SNARE complex,None
STX6,874,"SNARE complex (STX6, VAMP3, VAMP4, VAMP8)",Human,10228;8674;9341;8673,STX6;VAMP4;VAMP3;VAMP8,None;None;SYB3;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
STX6,876,"SNARE complex (STX6, VAMP3, VTI1A)",Human,10228;9341;143187,STX6;VAMP3;VTI1A,None;SYB3;None,vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;membrane fusion;SNARE complex,vesicle fusion;synaptic vesicle exocytosis
