ComplexName,subunits(Entrez IDs),GO ID,GO description,FunCat ID,FunCat description,Complex comment,subunits(Gene name)
VCP-SELK-DERL1 complex,7415;79139;58515,GO:0030968;GO:0036503,endoplasmic reticulum unfolded protein response;ERAD pathway,32.01.07,unfolded protein response (e.g. ER quality control),"SelK has higher affinity for Derlin-1, whereas SelS has higher affinity for Derlin-2. This suggests that the selenoproteins SelK and SelS could determine the nature of the substrate translocated through the Derlin channel.",VCP;DERL1;SELENOK
SEC23-SEC24 adaptor complex,10427;10484,GO:0097020;GO:0048208;GO:0005783,COPII receptor activity;COPII vesicle coating;endoplasmic reticulum,70.07,endoplasmic reticulum,"COPII coats are assembled from 3 components, ie, Sar1b, Sec23/24, and Sec13/31 complexes, necessary to capture cargo proteins and sculpt the ER membrane into vesicles. GTP loaded Sar1b recruits the cargo adaptor complex Sec23/Sec24 to ER exit domains.",SEC24B;SEC23A
SEC23-SEC24-SCAP-SREBP1c complex,10427;6720;22937;10484,GO:0097020;GO:0048208;GO:0051169;GO:0006629;GO:0005783,COPII receptor activity;COPII vesicle coating;nuclear transport;lipid metabolic process;endoplasmic reticulum,20.09.01;01.06;70.07,"nuclear transport;lipid, fatty acid and isoprenoid metabolism;endoplasmic reticulum","Coimmunoprecipitation studies in microsomes isolated from Caco-2/15 cells with Sar1b overexpression documented a pronounced interaction of Sec23/Sec24 with sterol regulatory element binding protein (SREBP) cleavage-activating protein and SREBP-1c, thereby permitting the transfer of the transcription factor SREBP-1c to the nucleus for the activation of genes involved in lipid metabolism.",SEC24B;SREBF1;SCAP;SEC23A
"Coat protein complex II (SAR1B, PREB, SEC23A , SEC24B, SEC23IP)",10427;10484;10113;51128;11196,GO:0097020;GO:0048208;GO:0005783,COPII receptor activity;COPII vesicle coating;endoplasmic reticulum,70.07,endoplasmic reticulum,"Sar1b plays a significant role in the assembly, organization, and function of the coat protein complex II (COPII), a critical complex for the transport of proteins from the endoplasmic reticulum to the Golgi. Along with the enhanced chylomicrons, microsomes were characterized by abundant Sec12, the guanine exchange factor that promotes the localization of Sar1b in the endoplasmic reticulum. Coimmunoprecipitation experiments revealed high levels of the complex components Sec23/Sec24 and p125, the Sec23-interacting protein.",SEC24B;SEC23A;PREB;SAR1B;SEC23IP
p53-MDM2 complex,7157;4193,GO:1904666,regulation of ubiquitin protein ligase activity,,,,TP53;MDM2
p53beta-MDM2 complex,7157;4193,,,,,,TP53;MDM2
p53gamma-MDM2 complex,7157;4193,,,,,,TP53;MDM2
CCNB1-CCNF complex,891;899,GO:0007049,cell cycle,2022-03-10 00:00:00,cell cycle,A novel interaction between cyclin B1 and cyclin F was identified. Data suggest that the NLS (nuclear localization signal) regions of cyclin F regulate cyclin B1 localization to the nucleus.,CCNB1;CCNF
DHHC6-SELK complex,64429;58515,GO:0005783;GO:0006955;GO:0018345,endoplasmic reticulum;immune response;protein palmitoylation,70.07;36.25.16,endoplasmic reticulum;immune response,"DHHC6 and SELK interact through SH3 domain and SH3-binding domains, respectively, to form a complex in the ER membrane. DHHC6-SELK complex catalyzes the posttranslational palmitoylation of the IP3R Ca2+ channel to regulate immune cell activation. (PMID:25368151).",ZDHHC6;SELENOK
NSL complex,8473;3054;11091;284058;10445;51230;84148;54934;55683,GO:0043984;GO:0043981,histone H4-K16 acetylation;histone H4-K5 acetylation,,,"MSL-associated MOF acetylates nucleosomal histone H4 almost exclusively on lysine 16, NSL-associated MOF exhibits a relaxed specificity and also acetylates nucleosomal histone H4 on lysines 5 and 8 (PMID:20018852).",OGT;HCFC1;WDR5;KANSL1;MCRS1;PHF20;KAT8;KANSL2;KANSL3
Insr-Irs1-Iqgap1 complex,16337;16367;29875,GO:0046626,regulation of insulin receptor signaling pathway,,,,Insr;Irs1;Iqgap1
P53alpha-P53beta complex,7157;7157,,,,,"p53beta and p53gamma modulate p53alpha transcriptional activity through, at least in part, the formation of DNA-mediated p53alpha/p53beta and p53alpha/p53gamma protein complex (PMID:24926616).",TP53;TP53
P53alpha-P53gamma complex,7157;7157,,,,,"p53beta and p53gamma modulate p53alpha transcriptional activity through, at least in part, the formation of DNA-mediated p53alpha/p53beta and p53alpha/p53gamma protein complex (PMID:24926616).",TP53;TP53
ABCB1-ANXA2-RACK1-SRC complex,302;5243;6714;10399,,,,,,ANXA2;ABCB1;SRC;RACK1
Abl1-Abl2-Crk-Unc119 complex,11350;None;12928;22248,GO:0100002,negative regulation of protein kinase activity by protein phosphorylation,,,,Abl1;Abl2;Crk;Unc119
"MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4-syntrophin complex",481;361;3766;None;59341;54212,GO:0009992;GO:0005886,cellular water homeostasis;plasma membrane,70.02,eukaryotic plasma membrane / membrane attached,,ATP1B1;AQP4;KCNJ10;MLC1;TRPV4;SNTG1
AKT1-NQO2 complex,4835;207,GO:0006954;GO:0008283;GO:0043491,inflammatory response;cell population proliferation;protein kinase B signaling,36.25.16.07,inflammatory response,,NQO2;AKT1
"HEPACAM-MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4 complex",481;361;3766;220296;None;59341,GO:0005886;GO:0009992,plasma membrane;cellular water homeostasis,70.02,eukaryotic plasma membrane / membrane attached,,ATP1B1;AQP4;KCNJ10;HEPACAM;MLC1;TRPV4
p532-Clathrin-HSP70 complex,3303;1213;8925,GO:0055085;GO:0005737,transmembrane transport;cytoplasm,70.03,cytoplasm,Cytosolic  p532 (HERC1) is complexed with clathrin and  HSP70  whereas membrane-associated p532 co-localizes with ARF1.,HSPA1A;CLTC;HERC1
BCL2-CISD2 complex,596;493856,GO:0006914;GO:0005783,autophagy;endoplasmic reticulum,70.07,endoplasmic reticulum,,BCL2;CISD2
BIN1-EHBP1-RAB8A complex,274;4218;23301,GO:0051223,regulation of protein transport,,,"Rab8, EHBP1L1, and Bin1 play a role in apical protein transport and that Rab8 may play an additional role in basolateral transport in small intestine polarized epithelial cells (PMID:26833786).",BIN1;RAB8A;EHBP1
GSK3B-HSP90AA1-PKM2 complex,3320;5315;2932,GO:0001932,regulation of protein phosphorylation,,,HSP90 led to PKM2 phosphorylation at Thr-328 induced by HSP90 was dependent on GSK-3beta(PMID:29262861),HSP90AA1;PKM;GSK3B
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,5757;5682;8125;60;5250;708,GO:0008283;GO:0043066;GO:0046902,cell population proliferation;negative regulation of apoptotic process;regulation of mitochondrial membrane permeability,40.10.02.01,anti-apoptosis,,PTMA;PSMA1;ANP32A;ACTB;SLC25A3;C1QBP
ANP32A-ANP32B-PSMA3-PTMA-SLC25A5 complex,292;5757;5684;8125;10541,GO:0008283;GO:0043066;GO:0046902,cell population proliferation;negative regulation of apoptotic process;regulation of mitochondrial membrane permeability,40.10.02.01,anti-apoptosis,,SLC25A5;PTMA;PSMA3;ANP32A;ANP32B
Ap1g1-Ap2a2-Dcx complex,13193;11772;11765,GO:0001764,neuron migration,,,,Dcx;Ap2a2;Ap1g1
HINT1-UBC3-RBX1 complex,997;3094;9978,,,,,HINT1 inhibits the ubiquitylation of p27 by binding to the SCF (SKP2) ubiquitin ligase complex and interfering with recruitment of the E2 enzyme CDC34/Ubc3 by Rbx1/Roc1 (PMID:19112177).,CDC34;HINT1;RBX1
MICALL1-RAB13 complex,5872;85377,GO:0016197,endosomal transport,,,MICAL-L1/Rab protein complex can regulate EGFR trafficking at late endocytic pathways (PMID:21795389),RAB13;MICALL1
SCAP-SREBF1 complex,100689048;100689018,GO:0006631;GO:0016125,fatty acid metabolic process;sterol metabolic process,2005-06-01 00:00:00,fatty acid metabolism,,SCAP;SREBF1
ASXL1-HCFC1-OGT complex,8473;3054;171023,GO:0051568;GO:0045893,"histone H3-K4 methylation;positive regulation of transcription, DNA-templated",11.02.03.04.01,transcription activation,,OGT;HCFC1;ASXL1
SCAP-SREBF2 complex,100689048;100689017,GO:0031638;GO:0006631;GO:0016125,zymogen activation;fatty acid metabolic process;sterol metabolic process,2005-06-01 00:00:00,fatty acid metabolism,,SCAP;SREBF2
NDFIP1-NEDD4L-SLC11A2 complex,4891;23327;80762,GO:0016567;GO:0010039;GO:0032025;GO:0030001,protein ubiquitination;response to iron ion;response to cobalt ion;metal ion transport,2005-07-14 00:00:00,"modification by ubiquitination, deubiquitination",,SLC11A2;NEDD4L;NDFIP1
Kdm1a-Plod2 complex,99982;26432,GO:0010692;GO:0070170,regulation of alkaline phosphatase activity;regulation of tooth mineralization,,,,Kdm1a;Plod2
ARAF-PIK3R1 complex,369;5295,,,,,,ARAF;PIK3R1
"Ubiquitin E3 ligase (CUL3, KEAP1, RBX1)",9978;8452;9817,GO:0031461,cullin-RING ubiquitin ligase complex,,,,RBX1;CUL3;KEAP1
CUL3-KCTD11 complex,8452;147040,,,,,,CUL3;KCTD11
CUL3-KCTD6 complex,8452;200845,,,,,,CUL3;KCTD6
OGT-HIRA complex,8473;7290;29855;23523,GO:0006334;GO:2000772,nucleosome assembly;regulation of cellular senescence,,,"OGT interacts with UBN1, modifies HIRA, and promotes nucleosome assembly of H3.3.",OGT;HIRA;UBN1;CABIN1
AKT1-APPL1-HDAC3 complex,8841;207;26060,,,,,,HDAC3;AKT1;APPL1
CFTR-GOPC-STX6 complex,10228;1080;57120,GO:1902822,regulation of late endosome to lysosome transport,,,The functional requirement of CAL suggested a model that the CAL/STX6/CFTR complex directs CFTR trafficking to the lysosome (PMID:20130090).,STX6;CFTR;GOPC
TP53-TSPY1-USP7 complex,7157;100289087;7874,GO:0007283,spermatogenesis,,,,TP53;TSPY1;USP7
ISLR2-ROCK1 complex,6093;57611,,,,,"Linx/Rho-kinase complex could be at least relevant to the regulation of cell body size and neurite extension, which may have a role in the development of brain architecture and neuronal connectivity (PMID:29739947).",ROCK1;ISLR2
KIAA1468-OSBP-RAB11A complex,5007;8766;57614,GO:0032371,regulation of sterol transport,,,,OSBP;RAB11A;RELCH
ECT2-KIF23-RACGAP1 complex,9493;29127;1894,GO:0000915;GO:0051233,actomyosin contractile ring assembly;spindle midzone,,,Active Rho is required for contractile ring formation and ECT2-KIF23-RACGAP1 complex regulates translocation of Rho to the equatorial region.,KIF23;RACGAP1;ECT2
KIF23-RACGAP1 complex,9493;29127,GO:0051233;GO:0001578;GO:0000910,spindle midzone;microtubule bundle formation;cytokinesis,2003-03-10 00:00:00,cytokinesis (cell division) /septum formation and hydrolysis,"Centralspindlin, but not its individual components, strongly promotes microtubule bundling in vitro.",KIF23;RACGAP1
HOOK2-PCM1-RAB8A complex,4218;5108;29911,GO:0071539;GO:0060271,protein localization to centrosome;cilium assembly,,,,RAB8A;PCM1;HOOK2
AP1B1-AP1G2-AP1M1-AP1S1 complex,8906;1174;162;8907,GO:0016192,vesicle-mediated transport,2007-09-20 00:00:00,"vesicular transport (Golgi network, etc.)","The clathrin-associated, heterotetrameric adaptor protein (AP) complexes, AP-1, AP-2, and AP-3, recognize signals in the cytosolic domains of transmembrane proteins, leading to their sorting to endosomes, lysosomes, lysosome-related organelles, and/or the basolateral membrane of polarized epithelial cells.",AP1G2;AP1S1;AP1B1;AP1M1
MIA2-MIA3-PREB complex,375056;4253;10113,GO:0006888;GO:0016192,endoplasmic reticulum to Golgi vesicle-mediated transport;vesicle-mediated transport,20.09.07.03;20.09.07,"ER to Golgi transport;vesicular transport (Golgi network, etc.)","TANGO1 (L) is an integral membrane protein that binds to collagen and the coatomer of vesicles and is necessary for collagen secretion from the ER. The short isoform of TANGO1 (TANGO1S), lacking the collagen-binding domain, was found that it was independently required for collagen export from the ER. Each of the TANGO1 isoforms forms a stable protein complex with factors involved in collagen secretion: TANGO1L/cTAGE5/Sec12 (900 kDa) and TANGO1S/cTAGE5/Sec12 (700 kDa). TANGO1S and TANGO1L seemed to be interchangeable in exporting collagen from the ER. It was suggested that mammalian ER exit sites possess two different-sized membrane-bound macromolecular complexes that specifically function in large-cargo export from the ER (PMID:27413011).",MIA3;MIA2;PREB
MIA2-MIA3-PREB complex,375056;4253;10113,GO:0006888;GO:0016192,endoplasmic reticulum to Golgi vesicle-mediated transport;vesicle-mediated transport,20.09.07.03;20.09.07,"ER to Golgi transport;vesicular transport (Golgi network, etc.)","TANGO1 (L) is an integral membrane protein that binds to collagen and the coatomer of vesicles and is necessary for collagen secretion from the ER. The short isoform of TANGO1 (TANGO1S), lacking the collagen-binding domain, was found that it was independently required for collagen export from the ER. Each of the TANGO1 isoforms forms a stable protein complex with factors involved in collagen secretion: TANGO1L/cTAGE5/Sec12 (900 kDa) and TANGO1S/cTAGE5/Sec12 (700 kDa). TANGO1S and TANGO1L seemed to be interchangeable in exporting collagen from the ER. It was suggested that mammalian ER exit sites possess two different-sized membrane-bound macromolecular complexes that specifically function in large-cargo export from the ER (PMID:27413011).",MIA3;MIA2;PREB
LAP1-TOR1A complex,1861;26092,GO:0043462,regulation of ATP-dependent activity,,,,TOR1A;TOR1AIP1
ARF1-ARFIP2-ARL1-PKD2 complex,400;23647;375;5311,GO:0051223;GO:0016192,regulation of protein transport;vesicle-mediated transport,2007-09-20 00:00:00,"vesicular transport (Golgi network, etc.)","At the TGN (trans-Golgi network), where PKD2 interacts with active ARF1, PKD2, and ARL1 are required for the assembly of a complex comprising of ARF1 and Arfaptin2 leading to secretion of matrix metalloproteinase-2 and -7. In conclusion, the data indicate that PKD2 is a core factor in the formation of this multiprotein complex at the TGN that controls constitutive secretion of matrix metalloproteinase cargo (PMID:26507660).",ARL1;ARFIP2;ARF1;PKD2
HAS1-HAS2 complex,3037;3036,GO:0050501,hyaluronan synthase activity,,,,HAS2;HAS1
HAS2-HAS3,3038;3037,GO:0050501,hyaluronan synthase activity,,,,HAS3;HAS2
Bcl2-Becn1 complex,56208;12043,,,,,"Results demonstrate that disruption of the Bcl2-Becn1 complex is an effective mechanism to increase autophagy, prevent premature ageing, improve healthspan and promote longevity in mammals.",Becn1;Bcl2
PAQR3-SCAP-SREBF2 complex,22937;6721;152559,GO:0042632;GO:0005794,cholesterol homeostasis;Golgi apparatus,34.01.07;70.08,cholesterol homeostasis;Golgi,"PAQR3 interacts with Scap/SREBP and promotes localization of Scap/SREBP in the Golgi, resulting in enhanced SREBP processing and cellular cholesterol level.",SCAP;SREBF2;PAQR3
SCAP-SREBF2 complex,22937;6721,GO:0042632;GO:0005794,cholesterol homeostasis;Golgi apparatus,34.01.07;70.08,cholesterol homeostasis;Golgi,"PAQR3 interacts with Scap/SREBP and promotes localization of Scap/SREBP in the Golgi, resulting in enhanced SREBP processing and cellular cholesterol level.",SCAP;SREBF2
PAQR3-SCAP-complex,22937;152559,GO:0042632;GO:0005794,cholesterol homeostasis;Golgi apparatus,34.01.07;70.08,cholesterol homeostasis;Golgi,"PAQR3 interacts with Scap/SREBP and promotes localization of Scap/SREBP in the Golgi, resulting in enhanced SREBP processing and cellular cholesterol level.",SCAP;PAQR3
"Ubiquitin E3 ligase (CUL3, KLHL7, RBX1)",9978;8452;55975,GO:0031461;GO:0043161,cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process,14.13.01.01,proteasomal degradation (ubiquitin/proteasomal pathway),,RBX1;CUL3;KLHL7
"Ubiquitin E3 ligase (CUL3, KLHL8)",8452;57563,GO:0031461;GO:0043161,cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process,14.13.01.01,proteasomal degradation (ubiquitin/proteasomal pathway),"Rapsyn, a postsynaptic protein required for clustering of nicotinic acetylcholine receptors (nAChRs) at the neuromuscular junction is polyubiquitinated by a KLHL8-containing E3 ligase.",CUL3;KLHL8
INSIG1-SCAP complex,3638;22937,GO:0016125;GO:0005783,sterol metabolic process;endoplasmic reticulum,70.07,endoplasmic reticulum,"Under cholesterol sufficient condition, Insigs act as anchor proteins to retain Scap/SREBP in the ER. Immunoprecipitation of PAQR3 could only bring down Scap but not Insig-1. Likewise, immunoprecipitation of Insig-1 could only bring down Scap but not PAQR3. Overexpression of PAQR3 was able to reduce Insig/Scap interaction in a dose-dependent manner. The results indicated that PAQR3 and Insig can mutually exclusively compete for Scap interaction, leading to either activation of SREBP by anchoring it to the GA (via PAQR3) or inactivation of SREBP by anchoring it to the ER (via Insig). The mutually exclusive interaction between Scap and PAQR3 or Insig-1 is regulated by cholesterol level.",INSIG1;SCAP
"Ubiquitin E3 ligase (CUL3, KLHL12, PEF1, PDCD6)",10016;8452;59349;553115,GO:0031461;GO:0030127;GO:0051592;GO:0043161,cullin-RING ubiquitin ligase complex;COPII vesicle coat;response to calcium ion;proteasome-mediated ubiquitin-dependent protein catabolic process,14.13.01.01,proteasomal degradation (ubiquitin/proteasomal pathway),"CUL3 and its adaptor KLHL12 require two calcium-binding proteins, PEF1 and PDCD6 (ALG2), for recognition of their substrate SEC31. PEF1 and ALG2 form a target-specific co-adaptor that translates a transient rise in cytosolic calcium levels into more persistent SEC31 ubiquitylation, which in turn triggers formation of large COPII coats and promotes collagen secretion.",PDCD6;CUL3;KLHL12;PEF1
"Ubiquitin E3 ligase (CUL3, KLHL9, KLHL13, RBX1)",9978;8452;55958;90293,GO:0031461;GO:1902410;GO:0043161,cullin-RING ubiquitin ligase complex;mitotic cytokinetic process;proteasome-mediated ubiquitin-dependent protein catabolic process,14.13.01.01,proteasomal degradation (ubiquitin/proteasomal pathway),"Ubiquitin E3 ligase (CUL3, KLHL9, KLHL13, RBX1) is essential for mitotic division. In complex with the substrate-specific adaptors KLHL9 and KLHL13, CUL3 is required for correct chromosome alignment in metaphase, proper midzone and midbody formation, and completion of cytokinesis. The complex regulates Aurora B localization on mitotic chromosomes possibly by inhibiting its efficient removal from chromosome arms.",RBX1;CUL3;KLHL9;KLHL13
"Ubiquitin E3 ligase (CUL3, KLHL20, RBX1)",9978;8452;27252,GO:0031461;GO:1904093;GO:0043161,cullin-RING ubiquitin ligase complex;negative regulation of autophagic cell death;proteasome-mediated ubiquitin-dependent protein catabolic process,14.13.01.01,proteasomal degradation (ubiquitin/proteasomal pathway),"Death-associated protein kinase (DAPK) is a mediator of interferon-induced cell death. The Ubiquitin E3 ligase (CUL3, KLHL20, RBX1) complex promotes DAPK polyubiquitination, thereby inducing the proteasomal degradation of DAPK and attenuation of autophagy. In interferon-treated cells, the enrichment and sequestration of KLHL20 in PML nuclear bodies disrupts KLHL20\u2013DAPK complex, thus impairing DAPK ubiquitination by KLHL20.",RBX1;CUL3;KLHL20
"Ubiquitin E3 ligase (CUL3, KLHL24, RBX1)",9978;8452;54800,GO:0031461;GO:0043161,cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process,14.13.01.01,proteasomal degradation (ubiquitin/proteasomal pathway),,RBX1;CUL3;KLHL24
"Ubiquitin E3 ligase (CUL3, KLHL25)",8452;64410,GO:0031461;GO:0043161;GO:0006417,cullin-RING ubiquitin ligase complex;proteasome-mediated ubiquitin-dependent protein catabolic process;regulation of translation,14.13.01.01;12.07,proteasomal degradation (ubiquitin/proteasomal pathway);translational control,"Translation via eIF4E activity is controlled by a family of repressor proteins, termed 4E-binding proteins (E4-BPs). Ubiquitin E3 ligase (CUL3, KLHL25) complex plays a key role in ubiquitination and subsequent degradation of the hypophosphorylated 4E-BP1.",CUL3;KLHL25
"Ubiquitin E3 ligase (CUL3, KLHL42)",8452;57542,GO:0031461;GO:1901990,cullin-RING ubiquitin ligase complex;regulation of mitotic cell cycle phase transition,,,"Overexpression of KLHL42 results in an increased microtubule density, cytoplasmic bridges between cells, and bi-nucleated cells. In contrast, knockdown of KLHL42 protein levels by double strand RNA results in a dramatic reduction in the cellular microtubule framework. Thus, Ubiquitin E3 ligase (CUL3, KLHL42) is required for normal mitosis in mammalian cells.",CUL3;KLHL42
KMT2E-OGT-USP7 complex,8473;55904;7874,GO:0005634;GO:0007049;GO:0030097;GO:0006355,"nucleus;cell cycle;hemopoiesis;regulation of transcription, DNA-templated",70.10;10.03;41.05.18;11.02.03.04,nucleus;cell cycle;hemopoiesis;transcriptional control,The MLL5 protein stability is cooperatively regulated by O-GlcNAc transferase (OGT) and ubiquitin-specific protease 7 (USP7).,OGT;KMT2E;USP7
CALM1-KCNE1-KCNQ1 complex,801;3753;3784,GO:0086008;GO:0005249;GO:0034705;GO:0015267,voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization;voltage-gated potassium channel activity;potassium channel complex;channel activity,2001-03-20 00:00:00,channel / pore class transport,"Calmodulin is essential for cardiac IKS channel gating and assembly. KCNE1 forms a ternary complex with wild-type KCNQ1 and Ca2+-CaM. CaM binding to KCNQ1 is essential for correct channel folding and assembly and for conferring Ca2+-sensitive IKS-current stimulation, which increases the cardiac repolarization reserve and therefore prevents the risk of ventricular arrhythmias.",CALM1;KCNE1;KCNQ1
PRAME complex,9978;23532;8453;8270;6921;6923;55644,,,,,,RBX1;PRAME;CUL2;LAGE3;ELOC;ELOB;OSGEP
LATS2-SIAH2-ZYX complex,6478;7791;26524,GO:0035330;GO:0007179,regulation of hippo signaling;transforming growth factor beta receptor signaling pathway,30.05.01.18.01,TGF-beta-receptor signalling pathway,"Zyxin forms a functional ternary complex with Siah2 and Lats2, thus enhances their binding and promotes Siah2-induced Lats2 degradation.",SIAH2;ZYX;LATS2
MAP2K4-MAP3K3-NBR1 complex,6416;4077;4215,GO:0006954;GO:0046328,inflammatory response;regulation of JNK cascade,36.25.16.07,inflammatory response,,MAP2K4;NBR1;MAP3K3
FOXO1-ESR1 complex,2099;2308,GO:0035257;GO:0030331,nuclear receptor binding;nuclear estrogen receptor binding,,,FKHR interacts with ERalpha in an E2-dependent fashion and represses ER-mediated transactivation.,ESR1;FOXO1
APP(AICD)-FOXO1 complex,351;2308,GO:0008219;GO:0005737;GO:0006915,cell death;cytoplasm;apoptotic process,40.10;70.03;40.10.02,cell death;cytoplasm;apoptosis (type I programmed cell death),"In human cells, AICD physically interacts with FoxO1, FoxO3a, or FoxO4 in HEK 293T cells in the cytoplasm, translocates with Foxo3a into the nucleus upon oxidative stress, and promotes FoxO-induced transcription of pro-apoptotic gene Bim. Data demonstrate that APP modulates FoxO-mediated cell death through AICD, which acts as a transcriptional co-activator of FoxO.",APP;FOXO1
Del133-p53beta-RHOB complex,7157;388,GO:0043066,negative regulation of apoptotic process,40.10.02.01,anti-apoptosis,"delta133p53\u00df inhibits RhoB tumor suppressor activity, thereby protecting tumor cells from RhoB-induced apoptosis (PMID:28212429).",TP53;RHOB
NISCH-RAC1-PAK1 complex,5879;5058;11188,GO:0016477,cell migration,34.05.01,cell migration,,RAC1;PAK1;NISCH
LMAN1-MCFD2 complex,3998;90411,GO:0007596;GO:0016192,blood coagulation;vesicle-mediated transport,36.25.16.09;20.09.07,"blood coagulation;vesicular transport (Golgi network, etc.)",LMAN1 and MCFD2 form a cargo receptor complex. Factor VIII binds to LMAN1-MCFD2 through calcium-dependent protein-protein interactions.,LMAN1;MCFD2
HSPA8-HSPBP1-STUB1 complex,3312;23640;10273,GO:0032435,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,,,"The cochaperone STUB1 (CHIP) is able to switch chaperone activity from protein folding to protein degradation by virtue of its ubiquitin ligase activity. Complex formation between HspBP1, HSPA8 (Hsc70) and STUB1 is necessary for HspBP1 to exert its STUB1-inhibiting activity.",HSPA8;HSPBP1;STUB1
BAG1-HSPA8-STUB1 complex,3312;573;10273,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,14.13.01.01,proteasomal degradation (ubiquitin/proteasomal pathway),,HSPA8;BAG1;STUB1
INSIG1-RNF139 complex,3638;11236,GO:0017148;GO:0016567;GO:0055088,negative regulation of translation;protein ubiquitination;lipid homeostasis,2005-07-14 00:00:00,"modification by ubiquitination, deubiquitination","INSIG-1 physically interacts with TRC8, and TRC8 enhances ubiquitylation of INSIG-1 in a RING-dependent manner. Polyubiquitylation of TRC8 itself was observed and this increased with added sterols. Reduction of SREBP target gene expression demonstrated that induced TRC8 inhibits these transcription factors. Results suggest that TRC8 is positioned to coordinate lipid homeostasis and protein translation during extended periods of cholesterol limitation.",INSIG1;RNF139
SAR1-SCAP-Sec23a-SEC24C complex,9632;100689048;20334;100758826,GO:0016020;GO:0045540,membrane;regulation of cholesterol biosynthetic process,,,,SEC24C;SCAP;Sec23a;SAR1B
INSIG1-SCAP-SREBF2 complex,3638;100689048;6721,GO:0045540,regulation of cholesterol biosynthetic process,,,"The transcriptional regulation of cholesterol and lipid biosynthetic enzymes is under the control of two ER- tethered transcription factors: SREBP-1 and SREBP-2. When sterol levels are high, the SREBP precursor proteins (preSREBP) are retained in the ER in a preSREBP-SCAP- INSIG complex.",INSIG1;SCAP;SREBF2
AMFR-INSIG1-VCP complex,7415;100689080;267,GO:0016020;GO:0045541,membrane;negative regulation of cholesterol biosynthetic process,,,"HMG CoA reductase is a critical enzyme in cholesterol biosynthesis. A dominant-negative ATPase-deficient mutant of VCP, a member of the AMFR-INSIG1-VCP complex blocked sterol-regulated degradation of HMG CoA reductase.",VCP;INSIG1;AMFR
CAMK4-HSPA1L-HSPA8-IQCG complex,3312;3305;814;84223,GO:0019722;GO:0030097,calcium-mediated signaling;hemopoiesis,30.01.09.03;41.05.18,Ca2+ mediated signal transduction;hemopoiesis,,HSPA8;HSPA1L;CAMK4;IQCG
CAPN7-CHMP1B-IST1 complex,9798;57132;23473,,,,,,IST1;CHMP1B;CAPN7
AQR-ISY1-PPIE-PRPF19-XAB2-ZNF830 complex,9716;91603;56949;57461;27339;10450,GO:0000398;GO:0009299;GO:0006283;GO:0005634,"mRNA splicing, via spliceosome;mRNA transcription;transcription-coupled nucleotide-excision repair;nucleus",11.04.03;11.02.03;70.10,"mRNA processing (splicing, 5'-, 3'-end processing);mRNA synthesis;nucleus",During gel filtration analysis the protein complex was included in the 0.5-MDa fraction.,AQR;ZNF830;XAB2;ISY1;PRPF19;PPIE
Vps34 Complex I,8678;22863;5289;29982;30849,GO:0016239,positive regulation of macroautophagy,,,"It was shown that NRBF2 is a new member of Vps34 Complex I, and regulates the induction of autophagy in response to serum starvation.",BECN1;ATG14;PIK3C3;NRBF2;PIK3R4
MAP3K5-TXN complex,7295;4217,,,,,Dissociation of the MAP3K5-TXN complex via SCO2 induces MAP3K5-dependent apoptosis in hypoxic tumors.,TXN;MAP3K5
DNAJB11-SDF2 complex,6388;51726,GO:0005788;GO:0051082,endoplasmic reticulum lumen;unfolded protein binding,,,The DNAJB11-SDF2 complex acts as component of the BiP chaperone cycle to prevent protein aggregation.,SDF2;DNAJB11
DNAJB11-SDF2L1 complex,23753;51726,GO:0051082;GO:0005783,unfolded protein binding;endoplasmic reticulum,70.07,endoplasmic reticulum,The DNAJB11-SDF2 complex acts as component of the BiP chaperone cycle to prevent protein aggregation.,SDF2L1;DNAJB11
ERN1-MAP3K5-TRAF2 complex,2081;7186;4217,GO:0007254;GO:0043068;GO:0034976,JNK cascade;positive regulation of programmed cell death;response to endoplasmic reticulum stress,30.01.05.01.02,JNK cascade,,ERN1;TRAF2;MAP3K5
POSH complex (CD4+ T cells),19354;26409;59009;26400;26419;26420;19099,GO:0045580,regulation of T cell differentiation,,,,Rac2;Map3k7;Sh3rf1;Map2k7;Mapk8;Mapk9;Mapk8ip1
POSH complex (CD8+ T cells),19353;59009;26403;26400;26419;19099,GO:0045580;GO:0046328,regulation of T cell differentiation;regulation of JNK cascade,,,Results show a mechanism for the specific regulation of TCR-dependent JNK1 activation and function that is key for CD8+ T-cell responses.,Rac1;Sh3rf1;Map3k11;Map2k7;Mapk8;Mapk8ip1
Arhgef28-Mapk8-MAPK8IP1 complex,110596;26419;9479,GO:1904093;GO:0070050,negative regulation of autophagic cell death;neuron cellular homeostasis,,,,Arhgef28;Mapk8;MAPK8IP1
